T_ann,T_sM,T_sm,T_wM,T_wm ,P_ann,P_sM,P_sm,P_wM,P_wm ,dem,target
12.617,26.516,15.426,18.371,-7.97,47.978,12.997,2.2555,2.5471,0.46681,350,Dwa
12.975,27.612,15.752,18.494,-8.5475,47.929,12.977,2.2541,2.5447,0.46697,303,Dwa
13.629,28.899,16.184,19.156,-8.4275,47.881,12.957,2.2526,2.5423,0.46713,210,Dwa
14.683,29.724,17.196,20.254,-6.915,47.832,12.937,2.2509,2.5399,0.46726,144,Dwa
12.617,26.516,15.426,18.371,-7.97,47.955,12.989,2.2548,2.5449,0.46749,389,Dwa
13.139,27.365,15.718,18.939,-8.19,47.906,12.969,2.2533,2.5425,0.46764,341,Dwa
14.167,29.152,16.647,19.821,-7.6187,47.857,12.949,2.2517,2.5402,0.46779,215,Dwa
12.966,26.212,15.729,18.916,-7.7112,47.931,12.981,2.254,2.5428,0.46816,392,Dwa
13.757,27.971,16.256,19.609,-7.3863,47.883,12.961,2.2525,2.5404,0.46831,311,Dwa
13.764,27.212,16.309,19.766,-6.9325,47.908,12.972,2.2533,2.5407,0.46884,333,Dwa
16.376,28.165,18.473,20.929,0.2825,41.548,10.301,1.9769,2.1733,0.66755,90,Dwa
17.123,29.087,19.14,21.724,0.7725,41.488,10.283,1.974,2.1705,0.66821,37,Dwa
17.867,30.711,19.78,22.352,0.9725,41.428,10.265,1.9709,2.1676,0.66886,22,Dwa
17.659,30.562,19.695,22.299,0.6525,41.367,10.247,1.9679,2.1647,0.66951,19,Dwa
16.922,29.661,19.184,21.541,0.2275,41.307,10.229,1.9649,2.1618,0.67016,21,Dwa
17.617,29.588,19.644,22.058,1.1662,41.735,10.339,1.9913,2.1811,0.67635,72,Dwa
17.617,29.588,19.644,22.058,1.1662,41.675,10.321,1.9882,2.1781,0.677,74,Dwa
18.364,31.404,20.311,22.599,1.32,41.614,10.303,1.9852,2.1752,0.67766,36,Dwa
18.286,31.48,20.218,22.664,1.3575,41.553,10.284,1.9822,2.1723,0.67831,19,Dwa
17.623,30.44,19.742,22.091,1.0313,41.492,10.266,1.9792,2.1694,0.67897,21,Dwa
18.014,30.051,20.152,22.176,1.5463,41.922,10.377,2.0057,2.1887,0.68514,66,Dwa
18.014,30.051,20.152,22.176,1.5463,41.861,10.359,2.0026,2.1858,0.6858,32,Dwa
18.682,31.544,20.604,22.796,1.3525,41.8,10.34,1.9995,2.1828,0.68646,16,Dwa
18.667,31.94,20.764,22.684,1.3212,41.738,10.322,1.9964,2.1799,0.68712,15,Dwa
17.995,31.067,20.201,22.212,1.035,41.676,10.304,1.9933,2.1769,0.68778,29,Dwa
18.682,31.544,20.604,22.796,1.3525,42.109,10.415,2.0201,2.1964,0.69394,27,Dwa
18.667,31.94,20.764,22.684,1.3212,42.047,10.396,2.017,2.1935,0.6946,21,Dwa
18.667,31.94,20.764,22.684,1.3212,41.985,10.378,2.0138,2.1905,0.69527,14,Dwa
17.995,31.067,20.201,22.212,1.035,41.923,10.359,2.0107,2.1875,0.69593,12,Dwa
17.286,30.16,19.504,21.689,0.48625,41.861,10.341,2.0076,2.1845,0.6966,14,Dwa
18.572,31.653,20.835,22.315,1.1412,42.297,10.453,2.0345,2.2041,0.70274,25,Dwa
18.761,31.98,20.914,22.595,1.21,42.234,10.434,2.0313,2.2011,0.7034,13,Dwa
18.761,31.98,20.914,22.595,1.21,42.171,10.416,2.0281,2.1981,0.70408,13,Dwa
18.386,31.545,20.569,22.634,1.2412,42.109,10.397,2.0249,2.1951,0.70475,14,Dwa
17.522,30.393,19.838,21.868,0.78625,42.046,10.378,2.0218,2.1921,0.70542,24,Dwa
15.236,26.499,17.962,16.888,0.43375,34.292,8.2519,1.4948,1.9578,0.70391,3,Dwa
15.989,27.728,19.147,18.306,0.74125,34.366,8.2651,1.5001,1.9547,0.70395,10,Dwa
15.236,26.499,17.962,16.888,0.43375,34.228,8.2334,1.4918,1.9564,0.70478,3,Dwa
15.444,27.196,18.561,17.506,0.25375,34.376,8.2598,1.5025,1.9502,0.70486,67,Dwa
16.177,27.809,19.289,18.461,0.935,34.302,8.2466,1.4971,1.9533,0.70486,21,Dwa
16.177,27.809,19.289,18.461,0.935,34.238,8.2282,1.4941,1.9518,0.70576,28,Dwa
15.444,27.196,18.561,17.506,0.25375,34.312,8.2414,1.4994,1.9487,0.7058,74,Dwa
16.073,27.806,19.073,18.412,0.94875,34.174,8.2097,1.4911,1.9504,0.70666,23,Dwa
15.989,27.728,19.147,18.306,0.74125,34.249,8.223,1.4964,1.9473,0.70674,82,Dwa
15.715,27.534,18.747,17.866,0.82625,34.11,8.1912,1.4881,1.949,0.70757,15,Dwa
16.177,27.809,19.289,18.461,0.935,34.185,8.2045,1.4934,1.9459,0.70767,73,Dwa
16.073,27.806,19.073,18.412,0.94875,34.121,8.1861,1.4904,1.9444,0.70861,45,Dwa
14.104,27.494,17.294,17.841,-3.7563,49.087,13.944,2.1557,2.6656,0.43719,9,Dwa
14.17,27.339,17.241,18.364,-4.1537,49.079,13.946,2.1537,2.6656,0.4374,11,Dwa
14.201,27.426,17.199,18.4,-4.115,49.072,13.949,2.1517,2.6657,0.43761,10,Dwa
14.78,28.598,17.58,19.427,-4.1238,49.064,13.951,2.1497,2.6658,0.43782,24,Dwa
14.359,28.007,17.515,17.991,-3.7962,49.12,13.95,2.1594,2.6654,0.43783,9,Dwa
15.134,29.313,17.939,20.096,-4.1637,49.057,13.953,2.1476,2.6659,0.43803,34,Dwa
14.201,27.426,17.199,18.4,-4.115,49.113,13.953,2.1575,2.6655,0.43805,8,Dwa
14.548,27.84,17.435,18.669,-4.1825,49.106,13.955,2.1555,2.6656,0.43826,12,Dwa
14.359,28.007,17.515,17.991,-3.7962,49.154,13.956,2.1631,2.6652,0.43847,8,Dwa
14.827,28.6,17.552,19.248,-4.1137,49.099,13.958,2.1536,2.6657,0.43848,20,Dwa
14.201,27.426,17.199,18.4,-4.115,49.147,13.959,2.1613,2.6654,0.43869,8,Dwa
15.124,29.422,17.86,20.062,-4.2125,49.092,13.961,2.1517,2.6658,0.43869,45,Dwa
14.839,28.162,17.616,19.06,-4.2837,49.141,13.962,2.1594,2.6655,0.43891,13,Dwa
14.447,27.815,17.475,18.368,-3.9687,49.188,13.963,2.1668,2.6651,0.43912,8,Dwa
15.092,28.866,17.762,19.359,-3.9537,49.135,13.965,2.1576,2.6656,0.43913,21,Dwa
14.548,27.84,17.435,18.669,-4.1825,49.182,13.966,2.1651,2.6652,0.43934,10,Dwa
15.054,29.236,17.814,19.922,-4.2025,49.128,13.968,2.1557,2.6657,0.43935,31,Dwa
14.839,28.162,17.616,19.06,-4.2837,49.176,13.969,2.1633,2.6654,0.43956,32,Dwa
14.108,27.101,17.007,18.255,-4.3613,49.221,13.969,2.1706,2.6649,0.43976,9,Dwa
15.092,28.866,17.762,19.359,-3.9537,49.17,13.972,2.1615,2.6655,0.43978,20,Dwa
14.839,28.162,17.616,19.06,-4.2837,49.216,13.972,2.1689,2.6651,0.43999,19,Dwa
15.054,29.236,17.814,19.922,-4.2025,49.164,13.975,2.1597,2.6657,0.44001,53,Dwa
14.81,28.616,17.391,19.306,-4.6125,49.21,13.975,2.1672,2.6653,0.44021,48,Dwa
15.403,29.307,18.012,20.082,-3.9063,49.205,13.979,2.1654,2.6654,0.44044,30,Dwa
